COUNTY,STATE,ESTABLISHED_DATE,PARENT
Daniels,Montana,1920,Sheridan and Valley Counties
Dawson County,Montana,1865,none
Deer Lodge County,Montana,1864,none
Fallon,Montana,1913,Custer County
Fergus County,Montana,1885,none
Flathead County,Montana,1893,Missoula County
Gallatin County,Montana,1864,none
Garfield,Montana,1919,Dawson County
Glacier,Montana,1919,Teton County
Golden Valley,Montana,1920,Musselshell and Sweet Grass Counties
Granite County,Montana,1893,Deer Lodge and Missoula Counties
Hill,Montana,1912,Chouteau County
Jefferson County,Montana,1864,none
Judith Basin,Montana,1920,Cascade and Fergus Counties
Lake,Montana,1923,Flathead and Missoula Counties
Lewis and Clark County,Montana,1864,none
Liberty,Montana,1920,Chouteau and Hill Counties
Lincoln,Montana,1909,Flathead County
Madison County,Montana,1864,none
McCone,Montana,1919,Dawson and Richland Counties
Meagher County,Montana,1867,Chouteau and Gallatin Counties
Mineral,Montana,1914,Missoula County
Missoula County,Montana,1864,none
Musselshell,Montana,1911,"Fergus, Meagher and Yellowstone Counties"
Park County,Montana,1887,Gallatin County
Petroleum,Montana,1926,Fergus County
Phillips,Montana,1915,Blaine and Valley Counties
Pondera,Montana,1919,Chouteau and Teton Counties
Powder River,Montana,1919,Custer County
Powell,Montana,1901,Deer Lodge County
Prairie,Montana,1915,Dawson and Fallon Counties
Ravalli County,Montana,1893,Missoula County
Richland,Montana,1914,Dawson County
Roosevelt,Montana,1919,Sheridan County
Rosebud,Montana,1901,Custer County
Sanders,Montana,1905,Missoula County
Sheridan,Montana,1913,Valley County
Silver Bow County,Montana,1881,Deer Lodge County
Stillwater,Montana,1913,"Carbon, Sweet Grass and Yellowstone Counties"
Sweet Grass County,Montana,1895,"Meagher, Park, and Yellowstone Counties"
Teton County,Montana,1893,Chouteau County
Toole,Montana,1914,Hill and Teton Counties
Treasure,Montana,1919,Rosebud County
Valley County,Montana,1893,Dawson County
Wheatland,Montana,1917,Meagher and Sweet Grass Counties
Wibaux,Montana,1914,"Dawson, Fallon and Richland Counties"
Yellowstone County,Montana,1893,Custer County
Carson City,Nevada,1969,previously known as Ormsby County
Churchill County,Nevada,1861,none
Clark,Nevada,1908,Lincoln County
Douglas County,Nevada,1861,none
Elko County,Nevada,1869,Lander County
Esmeralda County,Nevada,1861,none
Eureka County,Nevada,1873,Lander County
Humboldt County,Nevada,1861,none
Lander County,Nevada,1861,none
Lincoln County,Nevada,1866,Nye County and territory ceded by Arizona
Lyon County,Nevada,1861,none
Mineral,Nevada,1911,Esmeralda County
Nye County,Nevada,1864,Esmeralda County
Pershing,Nevada,1919,Humboldt County
Storey County,Nevada,1861,none
Washoe County,Nevada,1861,none
White Pine County,Nevada,1869,Lander County
Bernalillo County,New Mexico,1852,none
Catron,New Mexico,1921,Socorro County
Chaves County,New Mexico,1889,Lincoln County
Cibola,New Mexico,1981,"Valencia, Socorro, McKinley and Catron Counties"
Colfax County,New Mexico,1869,Mora County
Curry,New Mexico,1909,Quay and Roosevelt Counties
De Baca,New Mexico,1917,Chaves and Guadalupe Counties
Do_a Ana County,New Mexico,1852,none
Eddy County,New Mexico,1887,Lincoln County
Grant County,New Mexico,1868,Do_a Ana County
Guadalupe County,New Mexico,1891,San Miguel County
Harding,New Mexico,1921,Mora and Union Counties
Hidalgo,New Mexico,1920,Grant Counties
Lea,New Mexico,1917,Chaves and Eddy Counties
Lincoln County,New Mexico,1869,Socorro County
Los Alamos,New Mexico,1949,Sandoval and Santa Fe Counties
Luna,New Mexico,1901,Do_a Ana and Grant Counties
McKinley County,New Mexico,1899,Bernalillo County
Mora County,New Mexico,1859,Taos County
Otero County,New Mexico,1899,Do_a Ana and Lincoln Counties
Quay,New Mexico,1903,Guadalupe County
Rio Arriba County,New Mexico,1852,none
Roosevelt,New Mexico,1903,Chaves and Guadalupe Counties
San Juan County,New Mexico,1887,Rio Arriba County
San Miguel County,New Mexico,1852,none
Sandoval,New Mexico,1903,Bernalillo County
Santa Fe County,New Mexico,1852,none
Sierra County,New Mexico,1884,Do_a Ana and Socorro Counties
Socorro County,New Mexico,1852,none
Taos County,New Mexico,1852,none
Torrance,New Mexico,1903,"Bernalillo, Valencia and Socorro Counties"
Union County,New Mexico,1893,"Colfax, Mora and San Miguel Counties"
Valencia County,New Mexico,1852,none
Baker County,Oregon,1862,"Wasco County, Union and Malheur Counties"
Benton County,Oregon,1847,Polk County
Clackamas County,Oregon,1843,none
Clatsop County,Oregon,1844,the original Twality District
Columbia County,Oregon,1854,Washington County
Coos County,Oregon,1853,Umpqua and Jackson Counties
Crook County,Oregon,1882,Wasco County
Curry County,Oregon,1855,Coos County
Deschutes,Oregon,1916,Crook County
Douglas County,Oregon,1852,Umpqua County
Gilliam County,Oregon,1885,Wasco County
Grant County,Oregon,1864,old Wasco and Umatilla Counties
Harney County,Oregon,1889,Grant County
Hood River,Oregon,1908,Wasco County
Jackson County,Oregon,1852,"Lane, Douglas and Umpqua Counties"
Jefferson,Oregon,1914,Crook County
Josephine County,Oregon,1856,Jackson County
Klamath County,Oregon,1882,Lake County
Lake County,Oregon,1874,Jackson and Wasco Counties
Lane County,Oregon,1851,Linn and Benton Counties
Lincoln County,Oregon,1893,Benton and Polk Counties
Linn County,Oregon,1847,Champoeg (later Marion) County
Malheur County,Oregon,1887,Baker County
Marion County,Oregon,1843,none
Morrow County,Oregon,1885,Umatilla and Wasco Counties
Multnomah County,Oregon,1854,Washington and Clackamas Counties
Polk County,Oregon,1845,Yamhill District
Sherman County,Oregon,1889,Wasco County
Tillamook County,Oregon,1853,"Clatsop, Yamhill and Polk Counties"
Umatilla County,Oregon,1862,Wasco County
Union County,Oregon,1864,Baker County
Wallowa County,Oregon,1887,Union County
Wasco County,Oregon,1854,"Clackamas, Lane, Linn and Marion Counties"
Washington County,Oregon,1843,none
Wheeler County,Oregon,1899,"Grant, Gilliam, and Crook Counties"
Yamhill County,Oregon,1843,none
Beaver County,Utah,1856,Iron County
Box Elder County,Utah,1856,Weber County
Cache County,Utah,1857,Weber County
Carbon County,Utah,1894,Emery County
Daggett,Utah,1919,Uintah County
Davis County,Utah,1850,none
Duchesne,Utah,1913,Wasatch County
Emery County,Utah,1880,Sanpete County
Garfield County,Utah,1882,Iron County
Grand County,Utah,1890,Emery County
Iron County,Utah,1850,none
Juab County,Utah,1852,none
Kane County,Utah,1864,Washington County
Millard County,Utah,1851,none
Morgan County,Utah,1862,Davis County
Piute County,Utah,1865,Beaver County
Rich County,Utah,1864,Cache County
Salt Lake County,Utah,1849,none
San Juan County,Utah,1880,"Kane, Iron, and Piute Counties"
Sanpete County,Utah,1849,none
Sevier County,Utah,1862,Sanpete County
Summit County,Utah,1854,Salt Lake and Green River Counties
Tooele County,Utah,1849,none
Uintah County,Utah,1880,Wasatch County
Utah County,Utah,1849,none
Wasatch County,Utah,1862,Utah and Sanpete Counties
Washington County,Utah,1852,none
Wayne County,Utah,1892,Piute County
Weber County,Utah,1849,none
Adams County,Washington,1883,Whitman County
Asotin County,Washington,1883,Garfield County
Benton,Washington,1905,Yakima and Klickitat Counties
Chelan County,Washington,1899,Okanogan and Kittitas Counties
Clallam County,Washington,1854,Jefferson County
Clark County,Washington,1845,none
Columbia County,Washington,1875,Walla Walla County
Cowlitz County,Washington,1854,none
Douglas County,Washington,1883,Lincoln County
Ferry County,Washington,1899,Stevens County
Franklin County,Washington,1883,Whitman County
Garfield County,Washington,1881,Columbia County
Grant,Washington,1909,Douglas County
Grays Harbor County,Washington,1854,Thurston County; was known as Chehalis County until 1915
Island County,Washington,1853,Thurston County
Jefferson County,Washington,1852,Thurston County
King County,Washington,1852,Thurston County
Kitsap County,Washington,1857,King and Jefferson Counties
Kittitas County,Washington,1883,Yakima County
Klickitat County,Washington,1859,Walla Walla County
Lewis County,Washington,1845,none
Lincoln County,Washington,1883,Whitman County
Mason County,Washington,1854,King County
Okanogan County,Washington,1888,Stevens County
Pacific County,Washington,1851,Lewis County
Pend Oreille,Washington,1911,Stevens County
Pierce County,Washington,1852,Thurston County
San Juan County,Washington,1873,Whatcom County
Skagit County,Washington,1883,Whatcom County
Skamania County,Washington,1854,Clark County
Snohomish County,Washington,1861,Island County
Spokane County,Washington,1879,Stevens County
Stevens County,Washington,1863,Walla Walla County
Thurston County,Washington,1852,Lewis County
Wahkiakum County,Washington,1854,Cowlitz County
Walla Walla County,Washington,1854,Skamania County
Whatcom County,Washington,1854,Island County
Whitman County,Washington,1871,Stevens County
Yakima County,Washington,1865,Ferguson County (defunct)
Albany County,Wyoming,1868,none
Big Horn County,Wyoming,1896,"Sheridan, Johnson and Fremont Counties"
Campbell,Wyoming,1911,Weston and Crook Counties
Carbon County,Wyoming,1868,none
Converse County,Wyoming,1888,Albany and Laramie Counties
Crook County,Wyoming,1875,Laramie and Albany Counties
Fremont County,Wyoming,1884,Sweetwater County
Goshen,Wyoming,1911,Laramie County
Hot Springs,Wyoming,1911,"Fremont, Big Horn and Park Counties"
Johnson County,Wyoming,1875,Carbon and Sweetwater Counties
Laramie County,Wyoming,1867,none
Lincoln,Wyoming,1911,Uinta County
Natrona County,Wyoming,1888,Carbon County
Niobrara,Wyoming,1911,Converse County
Park,Wyoming,1909,Big Horn County; parts of Yellowstone National Park County were added in the 1960s
Platte,Wyoming,1911,Laramie County
Sheridan County,Wyoming,1888,Johnson County
Sublette,Wyoming,1921,Fremont and Lincoln Counties
Sweetwater County,Wyoming,1867,none
Teton,Wyoming,1921,Lincoln County; parts of Yellowstone National Park County were added in the 1960s
Uinta County,Wyoming,1869,none
Washakie,Wyoming,1911,Big Horn County
Weston County,Wyoming,1890,Crook County
